Universidade	ODS	Indicador	Ano	Valor	Overall	Percentil_ranking_metrica
Universidade Federal Fluminense	ODS 11	Field-Weighted Citation Impact - 5 Year (THE) Median	2022	1.08	1.15	
Universidade Federal Fluminense	ODS 11	Field-Weighted Citation Impact - 5 Year (THE) Median	2023	1.08	1.15	
Universidade Federal Fluminense	ODS 11	Output in Top 10% Journals (THE)	2019	10	65	87th
Universidade Federal Fluminense	ODS 11	Output in Top 10% Journals (THE)	2020	13	65	87th
Universidade Federal Fluminense	ODS 11	Output in Top 10% Journals (THE)	2021	16	65	87th
Universidade Federal Fluminense	ODS 11	Output in Top 10% Journals (THE)	2022	15	65	87th
Universidade Federal Fluminense	ODS 11	Output in Top 10% Journals (THE)	2023	11	65	87th
Universidade Federal Fluminense	ODS 11	Output in Top 10% Journals (THE) Median	2019	1	6	
Universidade Federal Fluminense	ODS 11	Output in Top 10% Journals (THE) Median	2020	2	6	
Universidade Federal Fluminense	ODS 11	Output in Top 10% Journals (THE) Median	2021	2	6	
